neg_coef,neg_words,pos_coef,pos_words
-0.62312409007,sucked,1.18301393673,never boring
-0.623580068803,teach,1.07170974804,fantastic
-0.645033351713,gpa,0.922511911908,excellent
-0.649627231877,lost,0.852513532335,wonderful
-0.657610398919,sucks,0.843762787156,awesome
-0.659377847312,biggest,0.782169957743,amazing
-0.673245236339,fall asleep,0.775618889436,best
-0.678658121284,condescending,0.768432518233,inspiring
-0.67958193655,late,0.730288276451,surprised
-0.681249489882,subjective,0.722909534032,nicest
-0.685386253512,ridiculously,0.664930093713,outstanding
-0.698363805832,stand,0.648693853064,incredible
-0.699257195564,jerk,0.631669400261,great
-0.707323002804,worst teacher,0.599626263795,fair
-0.719860462314,worthless,0.59731521454,approachable
-0.725679802962,unless,0.591624567646,favorite
-0.738600873555,worse,0.589078480139,loved
-0.739900906625,tangents,0.577347224723,funniest
-0.746321706289,harshly,0.573301096845,rocks
-0.751549711708,miller,0.541973010955,understands
-0.753548039592,disorganized,0.538588018287,extremely helpful
-0.754100711809,nothing,0.535056262634,enthusiastic
-0.757929853586,mistakes,0.532512454642,coolest
-0.765678949622,incomprehensible,0.523220824729,grades fairly
-0.784919498003,random,0.516315333653,best professor
-0.792924961473,hard understand,0.514341956959,genuine
-0.801043964752,arrogant,0.509442128775,explains
-0.832866943903,kill,0.506618887379,human
-0.868042574427,take someone,0.50596739982,cute
-0.884877397313,thinks,0.504041564723,phenomenal
-0.89570127842,useless,0.503621754991,easiest
-0.902833391139,vague,0.47489795506,laid
-0.912320131009,good luck,0.473339496217,easy understand
-0.944926466338,bad teacher,0.46556088498,glad
-0.95620611441,confusing,0.463893330399,previous
-0.958979907007,waste,0.46169949659,friendly
-0.980129296866,rambles,0.461016619396,earth
-0.986892825793,unhelpful,0.457970912557,straightforward
-0.991573383584,ridiculous,0.441178203924,straight forward
-1.03227890229,rude,0.438458053423,helps
-1.09095093636,reads,0.438341209461,humor
-1.09223404174,poor,0.425468101492,thanks
-1.29561926939,awful,0.418085598688,doable
-1.33237809149,hated,0.4172924968,get take
-1.42260905395,avoid,0.417267876221,encourages
-1.52232793697,terrible,0.417153360451,helpful
-1.56156827312,unclear,0.415725903325,helped
-1.6678965914,horrible,0.413489443044,enjoyable
-1.70666249905,unorganized,0.411033554088,fun
-1.75108721183,worst,0.400598639501,hot
